ИФ,Возраст,Сумма кредита,Средний ежемесячный доход за последние 6 мес,Ежемес. Выплаты по кредиту,Срок кредита (мес.),Кредит одобрен?
Ярослав Дроков,75,50000,23000,46800,18,В кредите отказано
Софья Датюкова,80,50000,23500,47600,24,В кредите отказано
Дмитрий Фроловцев,85,50000,24000,48400,6,В кредите отказано
Тарас Пискижов,90,50000,24500,49200,12,В кредите отказано
Юрий Шелатуркин,95,50000,25000,50000,18,В кредите отказано
Оксана Ворохобова,100,50000,25500,50800,24,В кредите отказано
Надежда Плеткина,65,50000,26000,51600,6,В кредите отказано
Алина Деконова,70,50000,26500,52400,12,В кредите отказано
Никита Щербатов,75,50000,27000,53200,18,В кредите отказано
Герасим Савоненков,80,50000,27500,54000,24,В кредите отказано
Борис Горшков,85,50000,28000,54800,6,В кредите отказано
Кирилл Котомин,90,50000,28500,55600,12,В кредите отказано
Руслан Парновский,95,50000,29000,56400,18,В кредите отказано
Кирилл Боголюбов,100,50000,29500,57200,24,В кредите отказано
Наталья Дремемина,65,50000,30000,58000,6,В кредите отказано
Наталия Шкаврова,70,50000,30500,58800,12,В кредите отказано
Александр Дябин,75,50000,31000,59600,18,В кредите отказано
Юлия Сотекова,80,50000,31500,60400,24,В кредите отказано
Виталий Жерин,85,50000,32000,61200,6,В кредите отказано
Алексей Савуцев,90,50000,32500,62000,12,В кредите отказано
Любовь Затейнова,95,50000,33000,62800,18,В кредите отказано
Денис Каменин,100,50000,33500,63600,24,В кредите отказано
Борис Якманов,65,50000,34000,64400,6,В кредите отказано
Эдуард Починалин,70,50000,34500,65200,12,В кредите отказано
Яков Асарин,75,50000,35000,66000,18,В кредите отказано
Софья Каштурова,80,50000,35500,66800,24,В кредите отказано
Степан Северюгин,85,50000,36000,67600,6,В кредите отказано
Марина Жданева,90,50000,36500,68400,12,В кредите отказано
Кристина Лабизова,95,50000,37000,69200,18,В кредите отказано
Михаил Шуняков,100,50000,37500,70000,24,В кредите отказано
Виктория Шиврина,65,50000,38000,70800,6,В кредите отказано
Олег Аникушкин,70,50000,38500,71600,12,В кредите отказано
Галина Чигурова,75,50000,39000,72400,18,В кредите отказано
Тамара Хлебакова,80,50000,39500,73200,24,В кредите отказано
Яков Шипкарев,85,50000,40000,74000,6,В кредите отказано
Алексей Колнутов,90,50000,40500,74800,12,В кредите отказано
Алена Лейтина,95,50000,41000,75600,18,В кредите отказано
Игорь Левнев,100,50000,41500,76400,24,В кредите отказано
Анастасия Губнелова,65,50000,42000,77200,6,В кредите отказано
Артём Шавензов,70,50000,42500,78000,12,В кредите отказано
Анатолий Романцев,75,50000,43000,78800,18,В кредите отказано
Илья Тицнов,80,50000,43500,79600,24,В кредите отказано
Вячеслав Тювин,85,100000,0,80400,12,В кредите отказано
Катерина Шелиханова,90,100000,500,81200,13,В кредите отказано
Николай Никалин,95,100000,1000,82000,14,В кредите отказано
Альберт Телесов,100,100000,1500,82800,15,В кредите отказано
Юлия Мавина,65,100000,2000,83600,16,В кредите отказано
Степан Болуков,70,100000,2500,84400,17,В кредите отказано
Карина Желтякова,75,100000,3000,85200,18,В кредите отказано
Игорь Папшев,80,100000,3500,86000,19,В кредите отказано
Алёна Енихина,85,100000,4000,86800,20,В кредите отказано
Алина Фивюшина,90,100000,4500,87600,21,В кредите отказано
Вадим Мусатов,95,100000,5000,88400,22,В кредите отказано
Раиса Валынова,100,100000,5500,89200,23,В кредите отказано
Григорий Марютенков,65,100000,6000,90000,24,В кредите отказано
Виталий Нянькин,70,100000,6500,90800,25,В кредите отказано
Георгий Алабов,75,100000,7000,91600,26,В кредите отказано
Артур Шевердяков,80,100000,7500,92400,27,В кредите отказано
Станислав Чекменев,85,100000,8000,93200,28,В кредите отказано
Антон Спорышкин,90,100000,8500,94000,29,В кредите отказано
Константин Васильцов,95,100000,9000,94800,30,В кредите отказано
Яков Алимпиев,100,100000,9500,95600,31,В кредите отказано
Клавдия Тимирбаева,65,100000,10000,96400,32,В кредите отказано
Артём Мадудин,70,100000,10500,97200,33,В кредите отказано
Людмила Брусничина,75,100000,11000,98000,34,В кредите отказано
Юлия Петушкина,80,100000,11500,98800,35,В кредите отказано
Алексей Галузов,85,100000,12000,99600,36,В кредите отказано
Дарья Илешина,90,100000,12500,100400,12,В кредите отказано
Валерий Абаршалин,95,100000,13000,101200,13,В кредите отказано
Наталья Кулыманова,100,100000,13500,102000,14,В кредите отказано
Евгений Чеснюков,65,100000,14000,102800,15,В кредите отказано
Вероника Самбикина,70,100000,14500,103600,16,В кредите отказано
Эдуард Мангушев,75,100000,15000,104400,17,В кредите отказано
София Пуряева,80,100000,15500,105200,18,В кредите отказано
Вадим Удовиков,85,100000,16000,106000,19,В кредите отказано
Анатолий Нигматов,90,100000,16500,106800,20,В кредите отказано
Леонид Матюкин,95,100000,17000,107600,21,В кредите отказано
Роман Гритусов,100,100000,17500,108400,22,В кредите отказано
Руслан Рафаев,65,100000,18000,109200,23,В кредите отказано
Анатолий Бинаев,70,100000,18500,110000,24,В кредите отказано
Виктор Дивавин,75,100000,19000,110800,25,В кредите отказано
Людмила Трушитина,80,100000,19500,111600,26,В кредите отказано
Виолетта Добровина,85,100000,20000,112400,27,В кредите отказано
Денис Севагин,90,100000,20500,113200,28,В кредите отказано
Аркадий Гарибин,95,100000,21000,114000,29,В кредите отказано
Геннадий Люкурин,100,100000,21500,114800,30,В кредите отказано
Валерий Сквозняков,65,100000,22000,115600,31,В кредите отказано
Инна Курцова,70,100000,22500,116400,32,В кредите отказано
Галина Ашмарева,75,100000,23000,117200,33,В кредите отказано
Виолетта Мотричкина,80,100000,23500,118000,34,В кредите отказано
Софья Осадина,85,100000,24000,118800,35,В кредите отказано
Тарас Халкионов,90,100000,24500,119600,36,В кредите отказано
Тамара Понынова,95,100000,25000,120400,12,В кредите отказано
Анна Сефарова,100,100000,25500,121200,13,В кредите отказано
Евгений Цибульский,65,100000,26000,122000,14,В кредите отказано
Денис Пунышев,70,100000,26500,122800,15,В кредите отказано
Валентин Конгаров,75,100000,27000,123600,16,В кредите отказано
Андрей Кушлин,80,100000,27500,124400,17,В кредите отказано
Григорий Курманин,85,100000,28000,125200,18,В кредите отказано
Галина Даввыдова,90,100000,28500,126000,19,В кредите отказано
Илья Котов,95,100000,29000,126800,20,В кредите отказано
Алена Чугаева,100,100000,29500,127600,21,В кредите отказано
Алена Подчекаева,65,100000,30000,128400,22,В кредите отказано
Николай Кученев,70,100000,30500,129200,23,В кредите отказано
Алена Егорова,75,100000,31000,130000,24,В кредите отказано
Владислав Мурешов,80,100000,31500,130800,25,В кредите отказано
Андрей Тлемисов,85,100000,32000,131600,26,В кредите отказано
Пётр Сандеров,90,100000,32500,132400,27,В кредите отказано
Вера Калугина,95,100000,33000,133200,28,В кредите отказано
Георгий Гудковский,100,100000,33500,134000,29,В кредите отказано
Кристина Петерукова,65,100000,34000,134800,30,В кредите отказано
Любовь Мокурина,70,100000,34500,135600,31,В кредите отказано
Константин Захлебин,75,100000,35000,136400,32,В кредите отказано
Алла Рассказова,80,100000,35500,137200,33,В кредите отказано
Эдуард Бродский,85,100000,36000,138000,34,В кредите отказано
Пётр Шерлаимов,90,100000,36500,138800,35,В кредите отказано
Наталья Алексишева,95,100000,37000,139600,36,В кредите отказано
Алиса Бузулина,100,100000,37500,140400,12,В кредите отказано
Клавдия Шахторина,65,100000,38000,141200,13,В кредите отказано
Тарас Лисафьев,70,100000,38500,142000,14,В кредите отказано
Игорь Карсницкий,75,100000,39000,142800,15,В кредите отказано
Алиса Чалых,80,100000,39500,143600,16,В кредите отказано
Никита Доринов,85,100000,40000,144400,17,В кредите отказано
Антон Саморуков,90,100000,40500,145200,18,В кредите отказано
Елизавета Швидкова,95,100000,41000,146000,19,В кредите отказано
Дарья Собанчиева,100,100000,41500,146800,20,В кредите отказано
Карина Партина,65,100000,42000,147600,21,В кредите отказано
Инна Полугарова,70,100000,42500,148400,22,В кредите отказано
Вера Палабугина,75,100000,43000,149200,23,В кредите отказано
Борис Крутков,80,100000,43500,150000,24,В кредите отказано
Людмила Евленкова,85,100000,44000,150800,25,В кредите отказано
Светлана Мичунова,90,100000,44500,151600,26,В кредите отказано
Виктор Ильчов,95,100000,45000,152400,27,В кредите отказано
Елена Корявичева,100,100000,45500,153200,28,В кредите отказано
Зинаида Ашкеева,65,100000,46000,154000,29,В кредите отказано
Аркадий Арямкин,70,100000,46500,154800,30,В кредите отказано
Максим Суманов,75,100000,47000,155600,31,В кредите отказано
Светлана Лученинова,80,100000,47500,156400,32,В кредите отказано
Валерия Грункова,85,100000,48000,157200,33,В кредите отказано
Алексей Жегулаев,90,100000,48500,158000,34,В кредите отказано
Алена Луховцева,95,100000,49000,158800,35,В кредите отказано
Вадим Самолкин,100,100000,49500,159600,36,В кредите отказано
Вячеслав Тювин,65,100000,50000,160400,12,В кредите отказано
Катерина Шелиханова,70,100000,50500,161200,13,В кредите отказано
Николай Никалин,75,100000,51000,162000,14,В кредите отказано
Альберт Телесов,80,100000,51500,162800,15,В кредите отказано
Юлия Мавина,85,100000,52000,163600,16,В кредите отказано
Степан Болуков,90,100000,52500,164400,17,В кредите отказано
Карина Желтякова,95,100000,53000,165200,18,В кредите отказано
Игорь Папшев,100,100000,53500,166000,19,В кредите отказано
Алёна Енихина,65,100000,54000,166800,20,В кредите отказано
Алина Фивюшина,70,100000,54500,167600,21,В кредите отказано
Вадим Мусатов,75,100000,55000,168400,22,В кредите отказано
Раиса Валынова,80,100000,55500,169200,23,В кредите отказано
Григорий Марютенков,85,100000,56000,170000,24,В кредите отказано
Виталий Нянькин,90,100000,56500,170800,25,В кредите отказано
Георгий Алабов,95,100000,57000,171600,26,В кредите отказано
Артур Шевердяков,100,100000,57500,172400,27,В кредите отказано
Станислав Чекменев,65,100000,58000,173200,28,В кредите отказано
Антон Спорышкин,70,100000,58500,174000,29,В кредите отказано
Константин Васильцов,75,100000,59000,174800,30,В кредите отказано
Яков Алимпиев,80,100000,59500,175600,31,В кредите отказано
Клавдия Тимирбаева,85,100000,60000,176400,32,В кредите отказано
Артём Мадудин,90,100000,60500,177200,33,В кредите отказано
Людмила Брусничина,95,100000,61000,178000,34,В кредите отказано
Юлия Петушкина,100,100000,61500,178800,35,В кредите отказано
Алексей Галузов,65,100000,62000,179600,36,В кредите отказано
Дарья Илешина,70,100000,62500,180400,12,В кредите отказано
Валерий Абаршалин,75,100000,63000,181200,13,В кредите отказано
Наталья Кулыманова,80,100000,63500,182000,14,В кредите отказано
Евгений Чеснюков,85,100000,64000,182800,15,В кредите отказано
Вероника Самбикина,90,100000,64500,183600,16,В кредите отказано
Эдуард Мангушев,95,100000,65000,184400,17,В кредите отказано
София Пуряева,100,100000,65500,185200,18,В кредите отказано
Вадим Удовиков,65,100000,66000,186000,19,В кредите отказано
Анатолий Нигматов,70,100000,66500,186800,20,В кредите отказано
Леонид Матюкин,75,100000,67000,187600,21,В кредите отказано
Роман Гритусов,80,100000,67500,188400,22,В кредите отказано
Руслан Рафаев,85,100000,68000,189200,23,В кредите отказано
Анатолий Бинаев,90,100000,68500,190000,24,В кредите отказано
Виктор Дивавин,95,100000,69000,190800,25,В кредите отказано
Людмила Трушитина,100,100000,69500,191600,26,В кредите отказано
Виолетта Добровина,65,100000,70000,192400,27,В кредите отказано
Денис Севагин,70,100000,70500,193200,28,В кредите отказано
Аркадий Гарибин,75,100000,71000,194000,29,В кредите отказано
Геннадий Люкурин,80,100000,71500,194800,30,В кредите отказано
Валерий Сквозняков,85,100000,72000,195600,31,В кредите отказано
Инна Курцова,90,100000,72500,196400,32,В кредите отказано
Галина Ашмарева,95,100000,73000,197200,33,В кредите отказано
Виолетта Мотричкина,100,100000,73500,198000,34,В кредите отказано
Софья Осадина,65,100000,74000,198800,35,В кредите отказано
Тарас Халкионов,70,100000,74500,199600,36,В кредите отказано
Тамара Понынова,75,100000,75000,200400,12,В кредите отказано
Анна Сефарова,80,100000,75500,201200,13,В кредите отказано
Евгений Цибульский,85,100000,76000,202000,14,В кредите отказано
Денис Пунышев,90,100000,76500,202800,15,В кредите отказано
Валентин Конгаров,95,100000,77000,203600,16,В кредите отказано
Андрей Кушлин,100,100000,77500,204400,17,В кредите отказано
Григорий Курманин,65,100000,78000,205200,18,В кредите отказано
Галина Даввыдова,70,100000,78500,206000,19,В кредите отказано
Илья Котов,75,100000,79000,206800,20,В кредите отказано
Алена Чугаева,80,100000,79500,207600,21,В кредите отказано
Алена Подчекаева,85,100000,80000,208400,22,В кредите отказано
Николай Кученев,90,100000,80500,209200,23,В кредите отказано
Алена Егорова,95,100000,81000,210000,24,В кредите отказано
Владислав Мурешов,100,100000,81500,210800,25,В кредите отказано
Андрей Тлемисов,65,100000,82000,211600,26,В кредите отказано
Пётр Сандеров,70,100000,82500,212400,27,В кредите отказано
Вера Калугина,75,100000,83000,213200,28,В кредите отказано
Георгий Гудковский,80,100000,83500,214000,29,В кредите отказано
Кристина Петерукова,85,100000,84000,214800,30,В кредите отказано
Любовь Мокурина,90,100000,84500,215600,31,В кредите отказано
Константин Захлебин,95,100000,85000,216400,32,В кредите отказано
Алла Рассказова,100,100000,85500,217200,33,В кредите отказано
Эдуард Бродский,65,100000,86000,218000,34,В кредите отказано
Пётр Шерлаимов,70,100000,86500,218800,35,В кредите отказано
Наталья Алексишева,75,100000,87000,219600,36,В кредите отказано
Алиса Бузулина,80,100000,87500,220400,12,В кредите отказано
Клавдия Шахторина,85,100000,88000,221200,13,В кредите отказано
Тарас Лисафьев,90,100000,88500,222000,14,В кредите отказано
Игорь Карсницкий,95,100000,89000,222800,15,В кредите отказано
Алиса Чалых,100,100000,89500,223600,16,В кредите отказано
Никита Доринов,65,100000,90000,224400,17,В кредите отказано
Антон Саморуков,70,100000,90500,225200,18,В кредите отказано
Елизавета Швидкова,75,100000,91000,226000,19,В кредите отказано
Дарья Собанчиева,80,100000,91500,226800,20,В кредите отказано
Карина Партина,85,100000,92000,227600,21,В кредите отказано
Инна Полугарова,90,100000,92500,228400,22,В кредите отказано
Вера Палабугина,95,100000,93000,229200,23,В кредите отказано
Борис Крутков,100,100000,93500,230000,24,В кредите отказано
Людмила Евленкова,65,100000,94000,230800,25,В кредите отказано
Светлана Мичунова,70,100000,94500,231600,26,В кредите отказано
Виктор Ильчов,75,100000,95000,232400,27,В кредите отказано
Елена Корявичева,80,100000,95500,233200,28,В кредите отказано
Зинаида Ашкеева,85,100000,96000,234000,29,В кредите отказано
Аркадий Арямкин,90,100000,96500,234800,30,В кредите отказано
Максим Суманов,95,100000,97000,235600,31,В кредите отказано
Светлана Лученинова,100,100000,97500,236400,32,В кредите отказано
Валерия Грункова,65,100000,98000,237200,33,В кредите отказано
Алексей Жегулаев,70,100000,98500,238000,34,В кредите отказано
Алена Луховцева,75,100000,99000,238800,35,В кредите отказано
Вадим Самолкин,80,100000,99500,239600,36,В кредите отказано
Галина Сидгияева,85,200000,15000,240400,12,В кредите отказано
Виталий Щигорев,90,200000,15250,241200,13,В кредите отказано
Кирилл Машицкий,95,200000,15500,242000,14,В кредите отказано
Инна Просвирова,100,200000,15750,242800,15,В кредите отказано
Иван Кутыров,65,200000,16000,243600,16,В кредите отказано
Валерия Аредова,70,200000,16250,244400,17,В кредите отказано
Герасим Каминов,75,200000,16500,245200,18,В кредите отказано
Роман Неугодов,80,200000,16750,246000,19,В кредите отказано
Денис Саневский,85,200000,17000,246800,20,В кредите отказано
Лариса Савашина,90,200000,17250,247600,21,В кредите отказано
Ольга Мытенкова,95,200000,17500,248400,22,В кредите отказано
Альберт Гелахов,100,200000,17750,249200,23,В кредите отказано
Виталий Шадлов,65,200000,18000,250000,24,В кредите отказано
Юлия Добрыдина,70,200000,18250,250800,25,В кредите отказано
Руслан Катаманин,75,200000,18500,251600,26,В кредите отказано
Катерина Дигитаева,80,200000,18750,252400,27,В кредите отказано
Полина Друзьякина,85,200000,19000,253200,28,В кредите отказано
Леонид Шеленин,90,200000,19250,254000,29,В кредите отказано
Вероника Ходыпева,95,200000,19500,254800,30,В кредите отказано
Вероника Биченова,100,200000,19750,255600,31,В кредите отказано
Геннадий Песегов,65,200000,20000,256400,32,В кредите отказано
Инна Земнцова,70,200000,20250,257200,33,В кредите отказано
Евгений Ивинских,75,200000,20500,258000,34,В кредите отказано
Оксана Алихашкина,80,200000,20750,258800,35,В кредите отказано
Никита Канцуров,85,200000,21000,259600,36,В кредите отказано
Ирина Цацарина,90,200000,21250,260400,12,В кредите отказано
Станислав Грибин,95,200000,21500,261200,13,В кредите отказано
Вера Озисова,100,200000,21750,262000,14,В кредите отказано
Иван Гармакнов,65,200000,22000,262800,15,В кредите отказано
Борис Шаршунов,70,200000,22250,263600,16,В кредите отказано
Семён Горбачев,75,200000,22500,264400,17,В кредите отказано
Лиза Энеева,80,200000,22750,265200,18,В кредите отказано
Федор Шелупаев,85,200000,23000,266000,19,В кредите отказано
Тарас Альгин,90,200000,23250,266800,20,В кредите отказано
Тамара Михалихина,95,200000,23500,267600,21,В кредите отказано
Лариса Бердышева,100,200000,23750,268400,22,В кредите отказано
Лариса Мозжорина,65,200000,24000,269200,23,В кредите отказано
Наталия Курчекова,70,200000,24250,270000,24,В кредите отказано
Альберт Шнурков,75,200000,24500,270800,25,В кредите отказано
Анатолий Катенев,80,200000,24750,271600,26,В кредите отказано
Григорий Плешеков,85,200000,25000,272400,27,В кредите отказано
Борис Биевецкий,90,200000,25500,273200,28,В кредите отказано
Анастасия Емогулова,95,200000,26000,274000,29,В кредите отказано
Вероника Гриванова,100,200000,26500,274800,30,В кредите отказано
Иван Строгалев,65,200000,27000,275600,31,В кредите отказано
Катерина Торонцова,70,200000,27500,276400,32,В кредите отказано
Виолетта Стриткова,75,200000,28000,277200,33,В кредите отказано
Катерина Моллаева,80,200000,28500,278000,34,В кредите отказано
Екатерина Савцова,85,200000,29000,278800,35,В кредите отказано
София Сваина,90,200000,29500,279600,36,В кредите отказано
Раиса Гущинская,95,200000,30000,280400,12,В кредите отказано
Ева Мархасева,100,200000,30500,281200,13,В кредите отказано
Лариса Таршилова,65,200000,31000,282000,14,В кредите отказано
Ярослав Санакоев,70,200000,31500,282800,15,В кредите отказано
Семён Смородинов,75,200000,32000,283600,16,В кредите отказано
Андрей Скопинский,80,200000,32500,284400,17,В кредите отказано
Виктор Хрошин,85,200000,33000,285200,18,В кредите отказано
Михаил Рудаков,90,200000,33500,286000,19,В кредите отказано
Тамара Дондакова,95,200000,34000,286800,20,В кредите отказано
Юрий Татлыбаев,100,200000,34500,287600,21,В кредите отказано
Алиса Сунеева,65,200000,35000,288400,22,В кредите отказано
Владислав Бубикин,70,200000,35500,289200,23,В кредите отказано
Ольга Силюгина,75,200000,36000,290000,24,В кредите отказано
Жанна Ганиева,80,200000,36500,290800,25,В кредите отказано
Валерий Шигусов,85,200000,37000,291600,26,В кредите отказано
Степан Панчищин,90,200000,37500,292400,27,В кредите отказано
Катерина Вандрикова,95,200000,38000,293200,28,В кредите отказано
Кристина Ладыгина,100,200000,38500,294000,29,В кредите отказано
Любовь Москина,65,200000,39000,294800,30,В кредите отказано
Илья Даданин,70,200000,39500,295600,31,В кредите отказано
Антон Натаров,75,200000,40000,296400,32,В кредите отказано
Алёна Илингина,80,200000,40500,297200,33,В кредите отказано
Артём Моцыгин,85,200000,41000,298000,34,В кредите отказано
Анна Веревкина,90,200000,41500,298800,35,В кредите отказано
Зинаида Логвичева,95,200000,42000,299600,36,В кредите отказано
Борис Садолин,100,200000,42500,300400,12,В кредите отказано
Надежда Савичева,65,200000,43000,301200,13,В кредите отказано
Федор Ганагин,70,200000,43500,302000,14,В кредите отказано
Мария Тюрикова,75,200000,44000,302800,15,В кредите отказано
Ирина Первукина,80,200000,44500,303600,16,В кредите отказано
Ева Живрякова,85,200000,45000,304400,17,В кредите отказано
Роман Гудиленков,90,200000,45500,305200,18,В кредите отказано
Вадим Непомнящих,95,200000,46000,306000,19,В кредите отказано
Анатолий Тюгашев,100,200000,46500,306800,20,В кредите отказано
Валентин Прощалыгин,65,200000,47000,307600,21,В кредите отказано
Николай Болотин,70,200000,47500,308400,22,В кредите отказано
Лиза Синьгова,75,200000,48000,309200,23,В кредите отказано
Александр Банецкий,80,200000,48500,310000,24,В кредите отказано
Ева Корсовская,85,200000,49000,310800,25,В кредите отказано
Любовь Дасова,90,200000,49500,311600,26,В кредите отказано
Владислав Степчиков,95,200000,50000,312400,27,В кредите отказано
Иван Сторошев,100,200000,50500,313200,28,В кредите отказано
Вера Хадюшина,65,200000,51000,314000,29,В кредите отказано
Яна Вострюкова,70,200000,51500,314800,30,В кредите отказано
Кристина Цымбаева,75,200000,52000,315600,31,В кредите отказано
Катерина Козловских,80,200000,52500,316400,32,В кредите отказано
Маргарита Сересева,85,200000,53000,317200,33,В кредите отказано
Яна Чуванова,90,200000,53500,318000,34,В кредите отказано
Полина Будднова,95,200000,54000,318800,35,В кредите отказано
Екатерина Тришенкова,100,200000,54500,319600,36,В кредите отказано
Алла Шелешкова,65,500000,15100,320400,36,В кредите отказано
Леонид Броников,70,500000,15600,321200,37,В кредите отказано
Клара Катюнина,75,500000,16100,322000,38,В кредите отказано
Елизавета Пикашкова,80,500000,16600,322800,39,В кредите отказано
Михаил Богаев,85,500000,17100,323600,40,В кредите отказано
Алёна Афимова,90,500000,17600,324400,41,В кредите отказано
Любовь Зологина,95,500000,18100,325200,42,В кредите отказано
Максим Калаков,100,500000,18600,326000,43,В кредите отказано
Алиса Ломиева,65,500000,19100,326800,44,В кредите отказано
Валерия Цыцканова,70,500000,19600,327600,45,В кредите отказано
Валерий Переладов,75,500000,20100,328400,46,В кредите отказано
Алена Какбуриева,80,500000,20600,329200,47,В кредите отказано
Константин Корниенков,85,500000,21100,330000,48,В кредите отказано
Оксана Кузувкова,90,500000,21600,330800,49,В кредите отказано
Яна Бендусова,95,500000,22100,331600,50,В кредите отказано
Ирина Аляутдина,100,500000,22600,332400,51,В кредите отказано
Константин Закамалдин,65,500000,23100,333200,52,В кредите отказано
Вячеслав Гин,70,500000,23600,334000,53,В кредите отказано
Яна Зубавина,75,500000,24100,334800,54,В кредите отказано
Александр Трегухов,80,500000,24600,335600,55,В кредите отказано
Леонид Полухин,85,500000,25100,336400,56,В кредите отказано
Александра Едигина,90,500000,25600,337200,57,В кредите отказано
Яна Долева,95,500000,26100,338000,58,В кредите отказано
Виталий Тюбиков,100,500000,26600,338800,59,В кредите отказано
Павел Уразов,65,500000,27100,339600,60,В кредите отказано
Леонид Шешулкин,70,500000,27600,340400,36,В кредите отказано
Илья Зерчанинов,75,500000,28100,341200,37,В кредите отказано
Эдуард Рянцев,80,500000,28600,342000,38,В кредите отказано
Тарас Керилов,85,500000,29100,342800,39,В кредите отказано
Федор Боглаев,90,500000,29600,343600,40,В кредите отказано
Кира Змиренкова,95,500000,30100,344400,41,В кредите отказано
Олег Красовин,100,500000,30600,345200,42,В кредите отказано
Геннадий Щелычков,65,500000,31100,346000,43,В кредите отказано
Александр Симоров,70,500000,31600,346800,44,В кредите отказано
Людмила Зеброва,75,500000,32100,347600,45,В кредите отказано
Виктор Старокашин,80,500000,32600,348400,46,В кредите отказано
Карина Елшанская,85,500000,33100,349200,47,В кредите отказано
Ирина Желязкова,90,500000,33600,350000,48,В кредите отказано
Виолетта Быдина,95,500000,34100,350800,49,В кредите отказано
Юлия Егорнова,100,500000,34600,351600,50,В кредите отказано
Денис Нашатырев,65,500000,35100,352400,51,В кредите отказано
Пётр Меллин,70,500000,35600,353200,52,В кредите отказано
Клара Волошкина,75,500000,36100,354000,53,В кредите отказано
Евгений Плечов,80,500000,36600,354800,54,В кредите отказано
Антон Тиванов,85,500000,37100,355600,55,В кредите отказано
Валентина Капышова,90,500000,37600,356400,56,В кредите отказано
Надежда Булавинова,95,500000,38100,357200,57,В кредите отказано
Вероника Хронусова,100,500000,38600,358000,58,В кредите отказано
Алена Карпучева,65,500000,39100,358800,59,В кредите отказано
Анастасия Гечунова,70,500000,39600,359600,60,В кредите отказано
Алена Увяткина,75,500000,40100,360400,36,В кредите отказано
Илья Хапников,80,500000,40600,361200,37,В кредите отказано
Юрий Абубякиров,85,500000,41100,362000,38,В кредите отказано
Михаил Евплатов,90,500000,41600,362800,39,В кредите отказано
Эдуард Тепелин,95,500000,42100,363600,40,В кредите отказано
Олег Акинцев,100,500000,42600,364400,41,В кредите отказано
София Кургузова,65,500000,43100,365200,42,В кредите отказано
Елена Великанова,70,500000,43600,366000,43,В кредите отказано
Артур Порамнов,75,500000,44100,366800,44,В кредите отказано
Зинаида Соровегина,80,500000,44600,367600,45,В кредите отказано
Ирина Белоусова,85,500000,45100,368400,46,В кредите отказано
Полина Комчарова,90,500000,45600,369200,47,В кредите отказано
Галина Шмырева,95,500000,46100,370000,48,В кредите отказано
Надежда Рамушева,100,500000,46600,370800,49,В кредите отказано
Пётр Шибинов,65,500000,47100,371600,50,В кредите отказано
Ольга Саврушева,70,500000,47600,372400,51,В кредите отказано
Тамара Леушева,75,500000,48100,373200,52,В кредите отказано
Дарья Терпенова,80,500000,48600,374000,53,В кредите отказано
Евгения Цыркина,85,500000,49100,374800,54,В кредите отказано
Валерия Дулкина,90,500000,49600,375600,55,В кредите отказано
Ирина Толоболина,95,500000,50100,376400,56,В кредите отказано
Алина Юдайлева,100,500000,50600,377200,57,В кредите отказано
Наталья Харичкова,65,500000,51100,378000,58,В кредите отказано
Вера Печкина,70,500000,51600,378800,59,В кредите отказано
Семён Печенов,75,500000,52100,379600,60,В кредите отказано
Виолетта Ярова,80,500000,52600,380400,36,В кредите отказано
Антон Суровежин,85,500000,53100,381200,37,В кредите отказано
Клавдия Верунова,90,500000,53600,382000,38,В кредите отказано
Николай Заносов,95,500000,54100,382800,39,В кредите отказано
Людмила Терскова,100,500000,54600,383600,40,В кредите отказано
Наталия Кранкина,65,500000,55100,384400,41,В кредите отказано
Максим Рядозубов,70,500000,55600,385200,42,В кредите отказано
Валерий Гурбатов,75,500000,56100,386000,43,В кредите отказано
Дмитрий Долбин,80,500000,56600,386800,44,В кредите отказано
Яков Базюков,85,500000,57100,387600,45,В кредите отказано
Пётр Левшов,90,500000,57600,388400,46,В кредите отказано
Владимир Перервин,95,500000,58100,389200,47,В кредите отказано
Роман Московсков,100,500000,58600,390000,48,В кредите отказано
Клавдия Хадайдеева,65,500000,59100,390800,49,В кредите отказано
Руслан Полижаров,70,500000,59600,391600,50,В кредите отказано
Алена Вахнеева,75,500000,60100,392400,51,В кредите отказано
Дмитрий Трогов,80,500000,60600,393200,52,В кредите отказано
Виталий Евдокеев,85,500000,61100,394000,53,В кредите отказано
Марина Пупская,90,500000,61600,394800,54,В кредите отказано
Вера Репова,95,500000,62100,395600,55,В кредите отказано
Ярослав Брусовцев,100,500000,62600,396400,56,В кредите отказано
Илья Шусмиков,65,500000,63100,397200,57,В кредите отказано
Вадим Черницких,70,500000,63600,398000,58,В кредите отказано
Альберт Бижов,75,500000,64100,398800,59,В кредите отказано
Ирина Боровлева,80,500000,64600,399600,60,В кредите отказано
Ксения Груева,85,1000000,15000,400400,60,В кредите отказано
Валерия Святицкая,90,1000000,15250,401200,60,В кредите отказано
Кира Кандыбова,95,1000000,15500,402000,62,В кредите отказано
Константин Лепкарев,100,1000000,15750,402800,61,В кредите отказано
Александра Тухмачева,65,1000000,16000,403600,61,В кредите отказано
Иван Саякин,70,1000000,16250,404400,63,В кредите отказано
Дарья Денегина,75,1000000,16500,405200,62,В кредите отказано
Степан Гашинин,80,1000000,16750,406000,62,В кредите отказано
Юлия Пияшова,85,1000000,17000,406800,64,В кредите отказано
Никита Лубшев,90,1000000,17250,407600,63,В кредите отказано
Галина Курбалиева,95,1000000,17500,408400,63,В кредите отказано
